artistID,artistName,artistPopularity,artistFollowers,artistGenre,date
1Ffb6ejR6Fe5IamqA5oRUF,Bring Me The Horizon,75,5504811,"melodic metalcore, metalcore, modern rock, rock, uk metalcore",2024-05-21
6d9SnuHI2bRer7c76d8sLq,Bro Safari,34,153370,"brostep, electro house, electronic trap, moombahton",2024-05-21
1Bl6wpkWCQ4KVgnASpvzzA,BROCKHAMPTON,61,2216572,"boy band, rap",2024-05-21
7lOJ7WXyopaxri0dbOiZkd,Broken Social Scene,44,362918,"alternative rock, baroque pop, canadian indie, canadian indie rock, canadian rock, indie rock, noise pop",2024-05-21
3eqjTLE0HfPfh78zjh6TqT,Bruce Springsteen,74,6229188,"heartland rock, mellow gold, permanent wave, rock, singer-songwriter",2024-05-21
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,86,55392848,"dance pop, pop",2024-05-21
3kbBWco9PZ5eSQsNScwG6U,Built To Spill,45,303912,"alternative rock, chamber pop, idaho indie, indie rock, lo-fi, noise rock, slacker rock",2024-05-21
7iWiAD5LLKyiox2grgfmUT,Bullet For My Valentine,64,2971554,"alternative metal, melodic metalcore, nu metal, post-grunge, uk metalcore, welsh metal",2024-05-21
78SHxLdtysAXgywQ4vE0Oa,Bush,58,1849253,"alternative metal, alternative rock, grunge, nu metal, pop rock, post-grunge, rock",2024-05-21
1YfEcTuGvBQ8xSD1f53UnK,Busta Rhymes,68,2718606,"east coast hip hop, hardcore hip hop, hip hop, pop rap, rap",2024-05-21
26T3LtbuGT1Fu9m0eRq5X3,Cage The Elephant,72,3692756,"modern alternative rock, modern rock, pov: indie, punk blues, rock",2024-05-21
6A43Djmhbe9100UwnI7epV,CAKE,59,1154174,"alternative rock, pop rock, post-grunge, sacramento indie",2024-05-21
1OmdWpAh1pucAuZPzJaxIJ,Calexico,44,202820,"alternative country, chamber pop, roots rock, tucson indie",2024-05-21
7CajNmpbOovFoOoasH2HaY,Calvin Harris,84,22546436,"dance pop, edm, electro house, house, pop, pop dance, progressive house, uk dance",2024-05-21
2N8IPNZTiNo3nj4mreOlHU,Camo & Krooked,52,222291,"austrian dnb, dancefloor dnb, drum and bass",2024-05-21
4gwpcMTbLWtBUlOijbVpuu,Capital Cities,64,899247,"metropopolis, modern rock",2024-05-21
5PbpKlxQE0Ktl5lcNABoFf,Car Seat Headrest,57,745581,"furry, indie rock, pov: indie, slacker rock",2024-05-21
4kYSro6naA4h99UJvo89HB,Cardi B,77,23778799,"pop, rap",2024-05-21
4aEnNH9PuU1HF3TsZTru54,Caribou,53,661796,"alternative dance, art pop, electronica, folktronica, indietronica, intelligent dance music, trip hop",2024-05-21
